danceability,key,loudness,acousticness,instrumentalness,liveness,valence,tempo,popular
0.391,8,-9.532,0.478,6.06e-06,0.116,0.138,105.593,0.0
0.628,1,-13.834,0.156,0.0104,0.0836,0.761,102.974,0.0
0.613,3,-22.789,0.864,0.0,0.269,0.371,75.104,0.0
0.504,2,-5.931,0.414,0.0,0.0845,0.163,135.927,1.0
0.698,9,-3.84,0.101,0.0,0.107,0.931,124.042,1.0
0.811,4,-9.22,0.396,0.391,0.16,0.768,113.833,1.0
0.707,4,-13.432,0.168,0.000156,0.207,0.761,109.964,1.0
0.818,5,-10.26,0.0989,0.0,0.108,0.326,149.635,0.0
0.652,0,-11.474,0.723,5.79e-06,0.103,0.711,106.863,0.0
0.43,9,-4.243,0.174,0.000671,0.273,0.233,74.778,0.0
0.56,9,-23.44,0.989,0.719,0.0995,0.334,118.413,0.0
0.495,9,-4.581,0.0753,0.0,0.284,0.442,145.031,1.0
0.387,1,-7.134,0.242,0.0012,0.11,0.316,139.724,0.0
0.63,6,-6.588,0.194,0.0,0.275,0.723,91.867,1.0
0.324,7,-15.709,0.916,0.469,0.266,0.17,111.893,0.0
0.565,11,-13.777,0.0808,0.466,0.0518,0.253,95.027,1.0
0.152,2,-10.305,0.718,0.00532,0.0702,0.101,174.093,0.0
0.518,7,-9.764,0.619,1.75e-05,0.133,0.397,115.089,0.0
0.663,7,-10.843,0.0637,1.09e-06,0.101,0.579,114.003,1.0
0.652,0,-3.133,0.373,1.32e-06,0.0392,0.387,108.077,1.0
0.768,4,-8.074,0.702,0.0,0.127,0.943,96.624,0.0
0.778,7,-7.846,0.311,1.04e-05,0.0874,0.874,94.766,1.0
0.563,2,-7.224,0.00348,4.04e-06,0.115,0.57,142.007,1.0
0.887,4,-9.598,0.808,0.0,0.359,0.934,124.154,0.0
0.47,5,-4.761,0.00989,0.0,0.159,0.42,146.003,1.0
0.482,9,-5.336,0.703,0.000203,0.136,0.482,82.066,1.0
0.732,7,-8.064,0.013,0.000131,0.129,0.116,138.003,1.0
0.555,4,-10.664,0.26,0.000177,0.13,0.87,138.163,1.0
0.712,0,-14.292,0.124,0.0,0.22,0.893,130.46,1.0
0.707,0,-12.189,0.326,0.0,0.552,0.725,109.154,0.0
0.362,8,-9.74,0.672,0.0,0.318,0.288,162.824,0.0
0.621,8,-3.791,0.472,0.000585,0.195,0.866,155.113,1.0
0.678,2,-12.244,0.294,0.0125,0.11,0.888,115.617,0.0
0.478,4,-8.138,0.0536,6.26e-05,0.215,0.262,91.138,1.0
